name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,2,cue_b,trait,logit,15,2021
Elias,direct,2,cue_b,trait,jlens,16,1186
Elias,direct,2,cue_b,trait,logit,16,398
Elias,direct,2,cue_b,trait,jlens,17,69
Elias,direct,2,cue_b,trait,logit,17,73
Elias,direct,2,cue_b,trait,jlens,18,95
Elias,direct,2,cue_b,trait,logit,18,46
Elias,direct,2,cue_b,trait,jlens,19,129
Elias,direct,2,cue_b,trait,logit,19,73
Elias,direct,2,cue_b,trait,jlens,20,103
Elias,direct,2,cue_b,trait,logit,20,14
Elias,direct,2,cue_b,trait,jlens,21,86
Elias,direct,2,cue_b,trait,logit,21,38
Elias,direct,2,cue_b,trait,jlens,22,62
Elias,direct,2,cue_b,trait,logit,22,38
Elias,direct,2,cue_b,trait,jlens,23,19
Elias,direct,2,cue_b,trait,logit,23,12
Elias,direct,2,cue_b,trait,jlens,24,8
Elias,direct,2,cue_b,trait,logit,24,6
Elias,direct,2,cue_b,trait,jlens,25,8
Elias,direct,2,cue_b,trait,logit,25,7
Elias,direct,2,cue_b,trait,jlens,26,2
Elias,direct,2,cue_b,trait,logit,26,3
Elias,direct,2,cue_b,adj,jlens,13,7964
Elias,direct,2,cue_b,adj,logit,13,25264
Elias,direct,2,cue_b,adj,jlens,14,19900
Elias,direct,2,cue_b,adj,logit,14,6156
Elias,direct,2,cue_b,adj,jlens,15,2476
Elias,direct,2,cue_b,adj,logit,15,2862
Elias,direct,2,cue_b,adj,jlens,16,2548
Elias,direct,2,cue_b,adj,logit,16,398
Elias,direct,2,cue_b,adj,jlens,17,164
Elias,direct,2,cue_b,adj,logit,17,73
Elias,direct,2,cue_b,adj,jlens,18,132
Elias,direct,2,cue_b,adj,logit,18,46
Elias,direct,2,cue_b,adj,jlens,19,129
Elias,direct,2,cue_b,adj,logit,19,73
Elias,direct,2,cue_b,adj,jlens,20,103
Elias,direct,2,cue_b,adj,logit,20,14
Elias,direct,2,cue_b,adj,jlens,21,86
Elias,direct,2,cue_b,adj,logit,21,38
Elias,direct,2,cue_b,adj,jlens,22,62
Elias,direct,2,cue_b,adj,logit,22,38
Elias,direct,2,cue_b,adj,jlens,23,19
Elias,direct,2,cue_b,adj,logit,23,12
Elias,direct,2,cue_b,adj,jlens,24,8
Elias,direct,2,cue_b,adj,logit,24,6
Elias,direct,2,cue_b,adj,jlens,25,8
