name,arm,distance,condition,measure,lens,layer,rank
Elias,inferred,7,control,trait,logit,16,400
Elias,inferred,7,control,trait,jlens,17,139
Elias,inferred,7,control,trait,logit,17,48
Elias,inferred,7,control,trait,jlens,18,95
Elias,inferred,7,control,trait,logit,18,30
Elias,inferred,7,control,trait,jlens,19,57
Elias,inferred,7,control,trait,logit,19,36
Elias,inferred,7,control,trait,jlens,20,60
Elias,inferred,7,control,trait,logit,20,8
Elias,inferred,7,control,trait,jlens,21,30
Elias,inferred,7,control,trait,logit,21,12
Elias,inferred,7,control,trait,jlens,22,24
Elias,inferred,7,control,trait,logit,22,11
Elias,inferred,7,control,trait,jlens,23,41
Elias,inferred,7,control,trait,logit,23,17
Elias,inferred,7,control,trait,jlens,24,10
Elias,inferred,7,control,trait,logit,24,5
Elias,inferred,7,control,trait,jlens,25,12
Elias,inferred,7,control,trait,logit,25,7
Elias,inferred,7,control,trait,jlens,26,10
Elias,inferred,7,control,trait,logit,26,6
Elias,inferred,10,baseline,trait,jlens,13,2071
Elias,inferred,10,baseline,trait,logit,13,13333
Elias,inferred,10,baseline,trait,jlens,14,2949
Elias,inferred,10,baseline,trait,logit,14,13506
Elias,inferred,10,baseline,trait,jlens,15,1036
Elias,inferred,10,baseline,trait,logit,15,4573
Elias,inferred,10,baseline,trait,jlens,16,1693
Elias,inferred,10,baseline,trait,logit,16,1063
Elias,inferred,10,baseline,trait,jlens,17,174
Elias,inferred,10,baseline,trait,logit,17,64
Elias,inferred,10,baseline,trait,jlens,18,114
Elias,inferred,10,baseline,trait,logit,18,36
Elias,inferred,10,baseline,trait,jlens,19,52
Elias,inferred,10,baseline,trait,logit,19,37
Elias,inferred,10,baseline,trait,jlens,20,43
Elias,inferred,10,baseline,trait,logit,20,9
Elias,inferred,10,baseline,trait,jlens,21,24
Elias,inferred,10,baseline,trait,logit,21,11
Elias,inferred,10,baseline,trait,jlens,22,19
Elias,inferred,10,baseline,trait,logit,22,12
Elias,inferred,10,baseline,trait,jlens,23,28
Elias,inferred,10,baseline,trait,logit,23,15
Elias,inferred,10,baseline,trait,jlens,24,8
Elias,inferred,10,baseline,trait,logit,24,5
Elias,inferred,10,baseline,trait,jlens,25,11
Elias,inferred,10,baseline,trait,logit,25,7
Elias,inferred,10,baseline,trait,jlens,26,8
Elias,inferred,10,baseline,trait,logit,26,6
Elias,inferred,10,scene,trait,jlens,13,4028
Elias,inferred,10,scene,trait,logit,13,13188
Elias,inferred,10,scene,trait,jlens,14,12197
Elias,inferred,10,scene,trait,logit,14,13466
Elias,inferred,10,scene,trait,jlens,15,732
Elias,inferred,10,scene,trait,logit,15,3927
Elias,inferred,10,scene,trait,jlens,16,1873
Elias,inferred,10,scene,trait,logit,16,1732
Elias,inferred,10,scene,trait,jlens,17,254
Elias,inferred,10,scene,trait,logit,17,308
Elias,inferred,10,scene,trait,jlens,18,270
Elias,inferred,10,scene,trait,logit,18,204
Elias,inferred,10,scene,trait,jlens,19,94
Elias,inferred,10,scene,trait,logit,19,158
Elias,inferred,10,scene,trait,jlens,20,124
Elias,inferred,10,scene,trait,logit,20,181
Elias,inferred,10,scene,trait,jlens,21,318
Elias,inferred,10,scene,trait,logit,21,220
Elias,inferred,10,scene,trait,jlens,22,532
Elias,inferred,10,scene,trait,logit,22,385
Elias,inferred,10,scene,trait,jlens,23,170
Elias,inferred,10,scene,trait,logit,23,142
Elias,inferred,10,scene,trait,jlens,24,176
Elias,inferred,10,scene,trait,logit,24,131
Elias,inferred,10,scene,trait,jlens,25,282
Elias,inferred,10,scene,trait,logit,25,149
Elias,inferred,10,scene,trait,jlens,26,505
Elias,inferred,10,scene,trait,logit,26,210
Elias,inferred,10,control,trait,jlens,13,3250
Elias,inferred,10,control,trait,logit,13,19173
Elias,inferred,10,control,trait,jlens,14,4966
Elias,inferred,10,control,trait,logit,14,14584
Elias,inferred,10,control,trait,jlens,15,758
Elias,inferred,10,control,trait,logit,15,3293
Elias,inferred,10,control,trait,jlens,16,1985
Elias,inferred,10,control,trait,logit,16,621
Elias,inferred,10,control,trait,jlens,17,214
Elias,inferred,10,control,trait,logit,17,49
Elias,inferred,10,control,trait,jlens,18,102
Elias,inferred,10,control,trait,logit,18,29
Elias,inferred,10,control,trait,jlens,19,49
Elias,inferred,10,control,trait,logit,19,31
Elias,inferred,10,control,trait,jlens,20,39
Elias,inferred,10,control,trait,logit,20,7
Elias,inferred,10,control,trait,jlens,21,25
Elias,inferred,10,control,trait,logit,21,12
Elias,inferred,10,control,trait,jlens,22,23
Elias,inferred,10,control,trait,logit,22,10
Elias,inferred,10,control,trait,jlens,23,30
Elias,inferred,10,control,trait,logit,23,15
Elias,inferred,10,control,trait,jlens,24,9
Elias,inferred,10,control,trait,logit,24,6
Elias,inferred,10,control,trait,jlens,25,13
Elias,inferred,10,control,trait,logit,25,6
